grantee,url,amount,date,cause_area,cause_area_url,notes
Greater Washington Educational Telecommunications Association,https://www.hewlett.org/grants/greater-washington-educational-telecommunications-association-for-support-of-the-pbs-newshour-4/,"$1,200,000","November 13, 2017",Special Projects,https://www.hewlett.org/programs/special-projects/,for support of the PBS NewsHour
Amref Health Africa,https://www.hewlett.org/grants/amref-health-africa-for-support-of-the-advocacy-accelerator-0/,"$1,500,000","November 13, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of the Advocacy Accelerator
"Behavioral Ideas Lab, Inc.",https://www.hewlett.org/grants/behavioral-ideas-lab-inc-for-behavioral-diagnoses-and-testing-of-new-interventions-in-reproductive-health-programs-2/,"$1,725,000","November 13, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for behavioral diagnoses and testing of new interventions in reproductive health programs
MSI-US,https://www.hewlett.org/grants/msi-us-for-support-of-human-centered-design-in-rural-kenya/,"$1,500,000","November 13, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of human-centered design in rural Kenya
Energy Innovation,https://www.hewlett.org/grants/energy-innovation-for-the-advanced-analysis-to-accelerate-power-sector-decarbonization-project/,"$250,000","November 13, 2017",Environment,https://www.hewlett.org/programs/environment/,for the Advanced Analysis to Accelerate Power Sector Decarbonization project
New Venture Fund,https://www.hewlett.org/grants/new-venture-fund-for-support-of-the-vision-first-project-0/,"$1,500,000","November 13, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for support of the Vision First project
United Nations Foundation,https://www.hewlett.org/grants/united-nations-foundation-for-continuation-of-data2x/,"$2,100,000","November 13, 2017",Global Development and Population,https://www.hewlett.org/programs/global-development-and-population/,for continuation of Data2X
Humboldt Area Foundation,https://www.hewlett.org/grants/humboldt-area-foundation-for-the-native-cultures-fund-1/,"$150,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for the Native Cultures Fund
Smuin Ballets/SF,https://www.hewlett.org/grants/smuin-balletssf-for-general-operating-support-2/,"$150,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Zohar Dance Company,https://www.hewlett.org/grants/zohar-dance-company-for-general-operating-support-1/,"$75,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
Bay Area Video Coalition,https://www.hewlett.org/grants/bay-area-video-coalition-for-general-operating-support-2/,"$300,000","October 24, 2017",Performing Arts,https://www.hewlett.org/programs/performing-arts/,for general operating support
